date,direction,service_type,time,primary_flight_number,primary_airline,codeshare_flight_numbers,codeshare_airlines,codeshare_count,origin,destination,status
2026-08-30,departure,cargo,22:45,WW 862,KXP,,,0,HKG,KUL,Dep 03:00 (31/08/2026)
2026-08-30,departure,cargo,23:00,CI 5832,CAL,,,0,HKG,TPE,Dep 04:01 (31/08/2026)
2026-08-30,departure,cargo,23:30,MH 6107,MAS,,,0,HKG,KUL,Dep 01:30 (31/08/2026)
2026-08-30,departure,cargo,23:55,CX 3290,CPA,,,0,HKG,ANC → DFW → ATL,Dep 00:28 (31/08/2026)
2026-08-31,departure,cargo,00:30,EY 948,ETD,,,0,HKG,AUH,Dep 00:20
2026-08-31,departure,cargo,00:30,TH 671,RMY,,,0,HKG,KUL,Cancelled
2026-08-31,departure,cargo,00:40,CV 915,CLX,,,0,HKG,GYD → LUX,Dep 01:57
2026-08-31,departure,cargo,00:40,ET 3767,ETH,,,0,HKG,LGG,Cancelled
2026-08-31,departure,cargo,01:30,CX 096,CPA,,,0,HKG,ANC → NLU,Dep 05:26
2026-08-31,departure,cargo,01:35,5X 169,UPS,,,0,HKG,SIN → SDF,Dep 01:39
2026-08-31,departure,cargo,01:40,TK 6257,THY,,,0,HKG,IST,Dep 01:47
2026-08-31,departure,cargo,02:25,KZ 202,NCA,,,0,HKG,NRT,Dep 03:19
2026-08-31,departure,cargo,02:40,LD 680,AHK,,,0,HKG,TPE,Dep 02:47
2026-08-31,departure,cargo,03:10,KE 314,KAL,,,0,HKG,ICN,Dep 03:44
2026-08-31,departure,cargo,03:30,QR 8041,QTR,,,0,HKG,DOH,Dep 03:25
2026-08-31,departure,cargo,03:35,QR 8415,QTR,,,0,HKG,DOH,Dep 03:18
2026-08-31,departure,cargo,03:50,BR 6530,EVA,,,0,HKG,TPE,Dep 04:26
2026-08-31,departure,cargo,04:00,MB 8183,MNB,,,0,HKG,SHJ,Dep 04:10
2026-08-31,departure,cargo,04:05,SV 983,SVA,,,0,HKG,RUH,Dep 23:29
2026-08-31,departure,cargo,05:00,QR 8435,QTR,,,0,HKG,DOH,Dep 06:00
2026-08-31,departure,cargo,05:25,EK 9863,UAE,,,0,HKG,DWC,Dep 05:20
2026-08-31,departure,cargo,05:40,ES 720,DHX,,,0,HKG,BAH,Dep 05:34
2026-08-31,departure,cargo,05:45,7L 625,AZG,,,0,HKG,DMM,Dep 05:47
2026-08-31,departure,cargo,06:00,3S 633,BOX,,,0,HKG,DWC → FRA,Dep 05:40
